;Gemeentenaam;month;koopprijs;Relative_difference %
3802;Vaals;4;223400.0;-2.8414033053058896
3803;Vaals;5;281454.54545454547;25.98681533327909
3804;Vaals;6;182000.0;-35.3359173126615
3805;Vaals;7;487000.0;167.58241758241758
3806;Vaals;8;266333.3333333333;-45.31143052703628
3807;Vaals;9;270500.0;1.5644555694618312
3808;Vaals;10;311000.0;14.972273567467642
3809;Vaals;11;199000.0;-36.0128617363344
3810;Vaals;12;268290.0;34.81909547738693
3811;Valkenburg aan de Geul;1;226666.66666666666;
3812;Valkenburg aan de Geul;2;287600.0;26.882352941176467
3813;Valkenburg aan de Geul;3;261633.33333333334;-9.028743625405655
3814;Valkenburg aan de Geul;4;278945.45454545453;6.61694020083623
3815;Valkenburg aan de Geul;5;344933.3333333333;23.656194324946767
3816;Valkenburg aan de Geul;6;336235.29411764705;-2.5216580640760378
3817;Valkenburg aan de Geul;7;350954.54545454547;4.3776639735352285
3818;Valkenburg aan de Geul;8;320527.77777777775;-8.669717509246077
3819;Valkenburg aan de Geul;9;320777.77777777775;0.0779963601698519
3820;Valkenburg aan de Geul;10;340272.7272727273;6.077400258210797
3821;Valkenburg aan de Geul;11;223750.0;-34.2439219877104
3822;Valkenburg aan de Geul;12;349600.0;56.24581005586593
3823;Valkenswaard;1;312324.3243243243;
3824;Valkenswaard;2;267700.0;-14.287815853236408
3825;Valkenswaard;3;247097.4358974359;-7.696138999837165
3826;Valkenswaard;4;307485.71428571426;24.43905505087638
3827;Valkenswaard;5;286378.7878787879;-6.864360009686143
3828;Valkenswaard;6;328810.3448275862;14.816585146927075
3829;Valkenswaard;7;337623.76923076925;2.680397542785462
3830;Valkenswaard;8;307315.7894736842;-8.976850127032742
3831;Valkenswaard;9;298451.6129032258;-2.8843869641840936
3832;Valkenswaard;10;287978.26086956525;-3.509229496795052
3833;Valkenswaard;11;306636.36363636365;6.478996959860539
3834;Valkenswaard;12;335222.22222222225;9.32239681127911
3835;Veendam;1;184157.14285714287;
3836;Veendam;2;186400.0;1.2179039640058953
3837;Veendam;3;191469.69696969696;2.7197945116399946
3838;Veendam;4;173281.25;-9.49938672153201
3839;Veendam;5;211951.61290322582;22.31653044009425
3840;Veendam;6;184292.68292682926;-13.049643547192646
3841;Veendam;7;185851.85185185185;0.8460286649804916
3842;Veendam;8;187652.1739130435;0.9686866411353856
3843;Veendam;9;212454.54545454544;13.21720448226471
3844;Veendam;10;195697.14285714287;-7.88752368726694
3845;Veendam;11;164857.14285714287;-15.759044587847104
3846;Veendam;12;179222.22222222222;8.713652994415554
3847;Veenendaal;1;275149.3243243243;
3848;Veenendaal;2;292876.92307692306;6.442901066950424
3849;Veenendaal;3;269000.5421686747;-8.152359925598274
3850;Veenendaal;4;278477.2727272727;3.5229410625706725
3851;Veenendaal;5;292583.75324675324;5.0655769432558895
3852;Veenendaal;6;296045.375;1.1831216582717685
3853;Veenendaal;7;283724.375;-4.161862011862205
3854;Veenendaal;8;282088.9344262295;-0.5764187774739082
3855;Veenendaal;9;309611.1650485437;9.756579313646085
3856;Veenendaal;10;298945.59154929576;-3.4448284504131843
