;Buurtnaam;koopprijs
246;Amstel III deel C/D Noord;340468,8048780488
247;Amsteleind;273333,3333333333
248;Amstelglorie;850000,0
249;Amstelhoek;388300,0
250;Amstelkwartier Noord;994151,472972973
251;Amstelkwartier West;498011,0
252;Amstelveldbuurt;1115050,0
253;Amstelwijk;225916,66666666666
254;Amstenrade;204400,0
255;Amstenraderveld;393500,0
256;Amsterdamscheveld;300000,0
257;Andel;259113,63636363635
258;Andelst;314450,0
259;Anderen;329666,6666666667
260;Andreasterrein;750322,125
261;Angelslo;139788,42105263157
262;Angeren;302048,3870967742
263;Angerenstein;435359,375
264;Angerlo;301249,8333333333
265;Anjeliersbuurt Noord;629923,0769230769
266;Anjeliersbuurt Zuid;628064,1025641026
267;Anjum;172454,54545454544
268;Ankeveen;735600,0
269;Ankeveense Rade;396500,0
270;Anklaar;264026,5396825397
271;Ankum kern;452666,6666666667
272;Ankummer Es;356047,61904761905
273;Anloo;430100,0
274;Anna Jacobapolder;164250,0
275;Anna Paulownastraat en omgeving;233775,0
276;Anna's Hoeve;674250,0
277;Annabuurt en Suytkade;212985,7142857143
278;Annakamp Oost;210300,0
279;Annakamp West;200750,0
280;Anne Frank;404113,9090909091
281;Annen;257180,32786885247
282;Annerveenschekanaal;211000,0
283;Anninks /Nijhofshoek;269848,48484848486
284;Ansen;566750,0
285;Antilopespoor;210250,0
286;Antoniapolder;481000,0
287;Antoniusparochie;283690,7894736842
288;Appel/'t Woud;545333,3333333334
289;Appelbuurt;285746,5714285714
290;Appelscha;291387,037037037
291;Appingedam Centrum;228736,0
292;Appingedam Oost;147241,02564102566
293;Appingedam West;241144,73684210525
294;Aquoy e.o.;544666,6666666666
295;Archeon;589020,8333333334
296;Archimedesbuurt;256166,66666666666
297;Archipel  Beukenhof  Rozengaard;236068,60465116278
298;Archipelbuurt;639618,8118811881
299;Architectenbuurt;335078,94736842107
300;Architectenbuurt Oost;333900,0
301;Architectenbuurt West;371225,0
302;Arenaparkkwartier;589964,2857142857
303;Arenborg;455000,0
304;Arendsboer en omgeving Noord;182409,0909090909
305;Arendsboer en omgeving Zuid;142812,5
306;Arendsdorp;731440,0
307;Arensgenhout;373750,0
308;Ariaweg;215428,57142857142
309;Arkel;276965,5172413793
310;Arkemheen;545000,0
311;Armenhoef;291100,0
312;Armhoef Noord Oost;293500,0
313;Armhoef Noord West;378782,14285714284
314;Armhoef Zuid;364613,63636363635
315;Arnemuiden;219049,01960784313
316;Arnhemse Allee;245818,18181818182
317;Arnhemse Broek;232175,0
318;Artiestenbuurt;169785,7142857143
319;Arum;185500,0
320;Asch;456333,3333333333
321;Asenray;231325,0
322;Asenray buitengebied;375000,0
323;Asperen Oude Kern;255246,42857142858
324;Asselt;527000,0
325;Assumburg   Lunenburg;273240,0
326;Asten;289092,1052631579
327;Astronomische Buurt;366844,1558441558
328;Atol;171825,0
329;Attelaken;489500,0
330;Augustapolder;379000,0
331;Augustijnenkamp en omgeving;483333,3333333333
332;Augustinusga;209800,0
333;Augustinuspark;291357,14285714284
334;Austerlitz;442849,88095238095
335;Auteursbuurt;322250,0
336;Avelingen West;328000,0
337;Avenhorn;262258,6206896552
338;Averlo en Frieswijk;750666,6666666666
339;Azewijn;259566,66666666666
340;Azië;330159,8085106383
341;Aziëbuurt;258157,14285714287
342;Azobe en omgeving;295687,5
343;BG terrein e.o.;905000,0
344;Baai 1;205875,0
345;Baai 2;196666,66666666666
346;Baai 3;283620,6896551724
347;Baai 4  Markenland;342166,6666666667
348;Baaienbuurt;283966,6666666667
349;Baak;248500,0
350;Baalder;194704,8780487805
351;Baalderveld;242406,97674418605
352;Baambrugge Buitengebied;1298333,3333333333
353;Baambrugge Dorp;502382,35294117645
354;Baanakkerspark Noord;213375,0
355;Baanakkerspark Zuid;294000,0
356;Baandert;213435,89743589744
357;Baanhoek Bedrijven;120000,0
358;Baanhoek Oost;550000,0
359;Baanhoek West;283111,95945945947
360;Baanstee en omgeving;495000,0
361;Baard;475000,0
362;Baardwijk;245766,66666666666
363;Baarland (Kern);237083,33333333334
364;Baarle Nassau;332076,92307692306
365;Baarlo;269583,3333333333
366;Baarschot;446000,0
367;Baarsveen;186054,54545454544
368;Babberich;240966,66666666666
369;Babberspolder Noord;253905,1724137931
370;Babberspolder Oost;228125,0
371;Babberspolder West;254537,8205128205
372;Babyloniënbroek;308250,0
373;Bachweg Zuid;215250,0
374;Badhoevedorp Antoniushoeve;301625,0
375;Badhoevedorp Bouwlust;525375,0
376;Badhoevedorp Centrum;578672,7272727273
377;Badhoevedorp Dijk;333500,0
378;Badhoevedorp Nieuwe Meer;463800,0
379;Badhoevedorp Noordoost;417833,3333333333
380;Badhoevedorp Noordwest;378130,4347826087
381;Badhoevedorp Oost;429572,7272727273
382;Badhoevedorp West;298433,3333333333
383;Badhoevedorp Zuid;431966,6666666667
384;Badstratenbuurt;191529,41176470587
385;Baflo;199285,7142857143
386;Baggelhuizen Midden;191114,2857142857
387;Baggelhuizen Zuid;225986,66666666666
388;Bagijneweide;318428,5714285714
389;Bakel;305587,8048780488
390;Bakelgeert Noord;217360,0
391;Bakelgeert Zuid;254777,77777777778
392;Bakenberg;458147,0588235294
393;Bakenes;590638,8888888889
394;Bakenhof;296275,0
395;Bakestein;186500,0
396;Bakhuizen;179428,57142857142
397;Bakkersberg Langendijk;599000,0
398;Bakkershaag;498000,0
399;Bakkeveen;253192,3076923077
400;Bakkum Noord;385000,0
401;Bakkum Zuid;576833,3333333334
402;Balboaplein e.o.;359435,9032258064
403;Balgoij;409928,5714285714
404;Balk;278210,5263157895
405;Balkbrug Benedenvaart;337250,0
406;Balkbrug Noord;187416,66666666666
407;Balkbrug Zuidoost;263150,0
408;Balkbrug Zuidwest;252315,23076923078
409;Balkengat;769800,0
410;Ballast;184659,0909090909
411;Balledonk;397875,0
412;Ballo;295000,0
413;Ballum;494166,6666666667
414;Banakkers 1;267950,0
415;Banakkers 2;296750,0
416;Banakkers 3;218947,36842105264
417;Banakkers 4  Achter de Molen;527700,0
418;Baneheide;209000,0
419;Bangert;291666,6666666667
420;Bangert en Oosterpolder   Buurt 35 01;339192,3076923077
421;Bangert en Oosterpolder   Buurt 35 02;338029,4117647059
422;Bangert en Oosterpolder   Buurt 35 03;257652,77777777778
423;Bangert en Oosterpolder   Buurt 35 04;272272,7272727273
424;Bangert en Oosterpolder   Buurt 35 05;424500,0
425;Bangert en Oosterpolder   Buurt 35 06;547500,0
426;Bangeweer;229500,0
427;Banholt;361125,0
428;Banne Noordoost;290260,0
429;Banne Noordwest;249615,38461538462
430;Banne Zuidoost;327781,25
431;Banne Zuidwest;332437,5
432;Banninghof;178113,125
433;Banpleinbuurt;2145625,0
434;Bant landelijk gebied;254850,0
435;Bant woonkern;270625,0
436;Bantega;396000,0
437;Barchem;239038,46153846153
438;Barger Compascuum Centrum;152225,0
439;Barger Oosterveen;231666,66666666666
440;Barger Oosterveld;257104,16666666666
441;Bargeres;164929,36842105264
442;Barnflair;184000,0
443;Barrier;301105,2631578947
444;Barsbeek;347428,5714285714
445;Barsingerhorn;312625,0
446;Bartelinkshoek;199625,0
447;Baskensburg Zuid;101333,33333333333
448;Basse;475000,0
449;Bastion;125476,19047619047
450;Bastionbuurt;274361,1111111111
451;Batadorp;288500,0
452;Batau Noord;260051,40186915887
453;Batau Zuid;261360,64814814815
454;Batenburg;434923,07692307694
455;Bato's Wijk;401655,1724137931
456;Batterijlaan;363911,76470588235
457;Bavel;476037,037037037
458;Bazeldonk;303730,76923076925
459;Bears;264000,0
460;Beatrixpark;252317,64705882352
461;Beatrixstraat;309000,0
462;Beatrixstraat en omgeving;247866,0294117647
463;Bebouwde Kom  oud gedeelte;214928,57142857142
464;Bebouwde Kom Plan Dorp;240458,69565217392
465;Bebouwde Kom Plan Oudeland;278000,0
466;Bebouwde kom Enumatil;223785,7142857143
467;Bebouwde kom Harreveld;460666,6666666667
468;Bebouwde kom Lievelde;251329,42857142858
469;Bebouwde kom Oostwold;340875,0
470;Bebouwde kom Tolbert;270575,0
471;Bebouwde kom Vragender;295750,0
472;Bebouwde kom Zevenhuizen;255155,55555555556
473;Bebouwde kom Zieuwent;252000,0
474;Beckum kern;271125,0
475;Bedrijfsterrein Losser;274250,0
476;Bedrijvencentrum Westerkwartier;424500,0
477;Bedrijvengebied Cruquiusweg;384743,24324324325
478;Bedrijvengebied Oudenrijn;269166,6666666667
479;Bedrijvengebied Strijkviertel;462557,5221238938
480;Bedrijvenpark Westermaat Zuidoost;271166,6666666667
481;Bedrijventerrein;465000,0
482;Bedrijventerrein ABC Westland;150000,0
483;Bedrijventerrein Albion;512500,0
484;Bedrijventerrein Barwoutswaarder;385750,0
485;Bedrijventerrein Beinum;249000,0
486;Bedrijventerrein Bemmer;519000,0
487;Bedrijventerrein Brandemat;274031,0
488;Bedrijventerrein Broekakkers;319500,0
489;Bedrijventerrein De Bosschen;659500,0
490;Bedrijventerrein De Corridor;650000,0
491;Bedrijventerrein De Grift;529000,0
492;Bedrijventerrein De Nijverhei;426300,0
493;Bedrijventerrein De Poortmannen;649000,0
494;Bedrijventerrein De Woerd;499000,0
495;Bedrijventerrein Delftech;423839,8192771084
496;Bedrijventerrein Duivenakker;598000,0
497;Bedrijventerrein Floresstraat;356357,14285714284
498;Bedrijventerrein Gors Noord;479500,0
499;Bedrijventerrein Haagweg;164250,0
500;Bedrijventerrein Haansberg;222500,0
501;Bedrijventerrein Heimanswetering;278333,3333333333
502;Bedrijventerrein Het Spoor;426625,0
503;Bedrijventerrein Hillegommerbeek;285000,0
504;Bedrijventerrein Honderland & Coldenhove;258900,0
505;Bedrijventerrein Honsel;649000,0
506;Bedrijventerrein Honthorst;569100,0
507;Bedrijventerrein Hoogewaard;525000,0
508;Bedrijventerrein Horst ten Daal;439333,3333333333
509;Bedrijventerrein Keppelseweg;275000,0
510;Bedrijventerrein Ketelmeerstraat;410000,0
511;Bedrijventerrein Kreitenmolen;349500,0
512;Bedrijventerrein Lageweide;364000,0
513;Bedrijventerrein Landlust;323333,3333333333
514;Bedrijventerrein Langeweg  Rembrandtstraat;366000,0
515;Bedrijventerrein Marsdijk Oost;445000,0
516;Bedrijventerrein Mercurius;219000,0
517;Bedrijventerrein Mercuriusweg;238125,0
518;Bedrijventerrein Nieuwendijk;529000,0
519;Bedrijventerrein Nieuwenweg;699000,0
520;Bedrijventerrein Nijverwaard;175000,0
521;Bedrijventerrein Noord;262000,0
522;Bedrijventerrein Riel;615000,0
523;Bedrijventerrein Rodenrijs;475000,0
524;Bedrijventerrein Rondweg;609666,6666666666
525;Bedrijventerrein Rotterdamseweg Zuid;287125,0
526;Bedrijventerrein Saxa Gotha;202166,66666666666
527;Bedrijventerrein Spelwijk;500000,0
528;Bedrijventerrein Stationspark;257250,0
529;Bedrijventerrein Teylingen;443000,0
530;Bedrijventerrein Tjalk;197000,0
531;Bedrijventerrein Twentekanaal Zuid I;292250,0
532;Bedrijventerrein Van Houten;647250,0
533;Bedrijventerrein Vlotlaan;570000,0
534;Bedrijventerrein Voorhof;223750,0
535;Bedrijventerrein Voorst B;425000,0
536;Bedrijventerrein Vosdonk Zuid;445000,0
537;Bedrijventerrein Wateringen;550000,0
538;Bedrijventerrein Zesweg;566000,0
539;Bedrijventerrein en omgeving;795000,0
540;Bedum;212991,44736842104
541;Beegden;285666,6666666667
542;Beek;267273,64864864864
543;Beek Midden;377266,6666666667
544;Beek Oost;282468,75
545;Beek West;466875,0
546;Beekbergen;383800,0
547;Beekhove;570800,0
548;Beeklaan kwartier;291990,8333333333
549;Beeklust;101250,0
550;Beekmanstraat en omgeving;116000,0
551;Beekweg;165000,0
552;Beelaertslaan;380250,0
553;Beemdenbuurt;304846,8378378378
554;Beerendrecht;406588,23529411765
555;Beers buitengebied;569800,0
556;Beers kern;290625,0
557;Beersdal;176333,33333333334
558;Beerta Centrum;216200,0
559;Beerta Centrum West;159500,0
560;Beerta Nieuwbouw;131880,0
561;Beesd Oost;320750,0
562;Beesd West;344078,125
563;Beesd e.o.;505000,0
564;Beesel;249772,72727272726
565;Beestenmarkt;293485,71428571426
566;Beethovenbuurt;1628833,3333333333
567;Beethovengaarde en Lisztgaarde;213586,2068965517
568;Beets;559722,2222222222
569;Beetsterzwaag;310854,1458333333
570;Begijnhofbuurt;613166,6666666666
571;Beginweg  Bronsweg  Jupiterweg;445000,0
572;Beijerlust;348000,0
573;Beijnes;241166,66666666666
574;Beijnesbuurt;257125,0
575;Beijum Oost;163807,6923076923
576;Beijum West;167443,29896907217
577;Beilen;247877,55102040817
578;Beinsdorp;293291,6666666667
579;Beinsdorp Omgeving;399000,0
580;Beinum I;263821,39285714284
581;Beinum II;371777,77777777775
582;Beisterveld;191028,125
583;Beistervelden;312800,0
584;Beisterveldse Broek;210444,44444444444
585;Bekenstein en De Luiaard;382181,8181818182
586;Bekerbuurt;215000,0
587;Bekkerveld;227375,0
588;Belcrum;343015,625
589;Belfort;178141,81818181818
590;Belgisch Park;446462,2448979592
591;Belgiëplein e.o.;371708,3333333333
592;Beljaart;313608,6956521739
593;Bellamybuurt Noord;529148,1481481482
594;Bellamybuurt Zuid;408580,35714285716
595;Bellatrixbuurt;199142,85714285713
596;Bellingwolde;192196,9696969697
597;Belt Schutsloot;284375,0
598;Beltrum;230291,66666666666
599;Bemelen;592833,3333333334
600;Bemmel;301333,0508474576
601;Beneden Delwijnen;225000,0
602;Beneden Haastrecht;650000,0
603;Benedenberg en Zuidbroek;1109500,0
604;Benedenbuurt;232071,42857142858
605;Benedenkerk;682500,0
606;Benedenstad;321211,4942528736
607;Benedenveer;289000,0
608;Bennekel Oost;212600,0
609;Bennekel West  Gagelbosch;223318,18181818182
610;Bennekom Zuidoost;383768,2926829268
611;Benneveld;398750,0
612;Benningbroek Oost;495000,0
613;Benningbroek West;252400,0
614;Benschop Boveneind Benedeneind;647142,8571428572
615;Benschop Dorp;430321,4285714286
616;Benschopperpoort en Het Podium;346000,0
617;Bentelo kern;390833,3333333333
618;Benthuizen Dorp Oost;321961,53846153844
619;Benthuizen Dorp West;361555,55555555556
620;Bentinckspark;196800,0
621;Bentveld Bultserve;229000,0
622;Bentveld Noord;696000,0
623;Bentveld Zuid;1150153,8461538462
624;Bentwoud;397500,0
625;Benzenrade;389000,0
626;Berflo Es Noord;198929,4871794872
627;Berflo Es Zuid;171964,2857142857
628;Berg;255012,8205128205
629;Berg en Bos;504074,0740740741
630;Bergambacht Dorp;342625,0
631;Bergen;435986,4864864865
632;Bergen Centrum;722863,6363636364
633;Bergen aan Zee;731125,0
634;Bergenbuurt;178016,98113207548
635;Bergenhuizen en Schey;695000,0
636;Bergenshuizen;849000,0
637;Bergentheim Kern;199788,23529411765
638;Bergerhof en Blaeustraatkwartier;260684,2105263158
639;Bergermeer;344705,8823529412
640;Bergerwegkwartier;373963,4146341463
641;Bergharen;378681,8181818182
642;Berghem Noord;327559,5238095238
643;Berghem Zuid;338521,4285714286
644;Berghemseweg Zuid;239000,0
645;Berghuizen;281666,6666666667
646;Bergkwartier;306416,6666666667
647;Bergpolder;231014,824120603
648;Bergsche Ackers;378281,25
649;Bergse Nos;1626583,3333333333
650;Bergse Plaat;298120,56074766355
651;Bergstoep;310272,7272727273
652;Bergvliet;248857,14285714287
653;Bergwijkpark;333854,1666666667
654;Beringe;299153,8461538461
655;Berkel Dorp;330653,8461538461
656;Berkel Noord;315868,4210526316
657;Berkelaar;329000,0
658;Berkelsbroek;309600,0
659;Berkelse Akkers;383500,0
660;Berkenwoude;474000,0
661;Berkhout;385768,75
662;Berkum;379000,0
663;Berlicum;329335,9375
664;Berltsum;167172,72727272726
665;Bermen;392000,0
666;Beroepenbuurt;346205,2631578947
667;Bertelmanpleinbuurt;408333,3333333333
668;Besoijen;291767,85714285716
669;Besterd;186366,66666666666
670;Beter Wonen;264472,22222222225
671;Bethunepolder Noord;646500,0
672;Bethunepolder zuid;295000,0
673;Betondorp;293915,0714285714
674;Betsy Perkbuurt;406166,6666666667
675;Beugen Centrum;361875,0
676;Beugt;415000,0
677;Beukemabuurt;182300,0
678;Beukenhorst;401666,6666666667
679;Beukenlaan e.o.;202666,66666666666
680;Beuningen Aalsterveld;171000,0
681;Beuningen Beuningse Plas;383671,4285714286
682;Beuningen Blanckenburgh;190000,0
683;Beuningen Buitengebied Noord;374666,6666666667
684;Beuningen Centrum;295350,0
685;Beuningen Centrum Oost;216250,0
686;Beuningen De Haaghe;449000,0
687;Beuningen Den Balmerd;475000,0
688;Beuningen Duivenkamp;230642,85714285713
689;Beuningen Heuve 1;418375,0
690;Beuningen Heuve 2;344875,0
691;Beuningen Heuve 3;284285,71428571426
692;Beuningen Heuve 4;426250,0
693;Beuningen Hoeve 1;225000,0
694;Beuningen Hoeve 2;186000,0
695;Beuningen Hoeve 3;425000,0
696;Beuningen Olden Tempel;343400,0
697;Beuningen Tinnegieter;218105,26315789475
698;Beuningen Viermorgen;274071,4285714286
699;Beuningen kern;562000,0
700;Beusichem;397318,05555555556
701;Beverveen;213623,07692307694
702;Beverwaard;181555,4938271605
703;Beverwijcksplein en omgeving;277538,46153846156
704;Beverwijkerstraatweg;488350,0
705;Bexdelle;204000,0
706;Bezuidenhout Midden;452409,8360655738
707;Bezuidenhout Oost;286283,87096774194
708;Bezuidenhout West;319132,35294117645
709;Bierum;137000,0
710;Biesbosch;338510,35714285716
711;Biesdonk;195783,7837837838
712;Bieshaar Noord;295321,4285714286
713;Bieshaar Zuid;432541,6666666667
714;Biesland;526391,304347826
715;Biest;245223,61111111112
716;Biest Houtakker;326400,0
717;Biezen;300863,2478632479
718;Biezen Oost;174000,0
719;Biezen West;297446,0714285714
720;Biezenbuurt;315250,0
721;Biezenmortel;347000,0
722;Biggekerke;223223,07692307694
