;global_id;postcode;Gemeentenaam;Buurtnaam;Afstand_tot_huisartsenpraktijk_km
970;4080485;6004HZ;Weert                                   ;Biest;4
974;4090028;2565JC;s Gravenhage                           ;Bloemenbuurt Oost;3
975;4089685;5644SE;Eindhoven                               ;Genneperzijde;4
987;4074241;2594AR;s Gravenhage                           ;Bezuidenhout Oost;4
993;4091104;1065GN;Amsterdam                               ;Louis Crispijnbuurt;3
994;4082004;8261CM;Kampen                                  ;Binnenstad Kampen;4
997;4091228;2563PZ;s Gravenhage                           ;Heesterbuurt;2
1000;4097628;1016XM;Amsterdam                               ;Passeerdersgrachtbuurt;3
1008;4097881;1215EE;Hilversum                               ;Schrijverskwartier;4
1010;4098152;2583HR;s Gravenhage                           ;Duindorp;3
1015;4098498;3555VL;Utrecht                                 ;Prins Bernhardplein en omgeving;4
1017;4098560;1363BB;Almere                                  ;Europakwartier;4
1018;4098591;9711BX;Groningen                               ;Binnenstad Zuid;3
1021;4091759;2011MP;Haarlem                                 ;Stationsbuurt;3
1024;4076442;3031SH;Rotterdam                               ;Rubroek;4
1028;4099880;1073XB;Amsterdam                               ;Sarphatiparkbuurt;4
1032;4076978;7604EC;Almelo                                  ;Aalderinkshoek Noordoost;4
1034;4099321;2273TT;Leidschendam Voorburg                   ;Bovenveen;4
1040;4100120;3134BX;Vlaardingen                             ;Oostbuurt;3
1041;4092316;1079KR;Amsterdam                               ;Kromme Mijdrechtbuurt;1
1044;4100592;6652BN;Druten                                  ;Druten Bouwing;4
1058;4094859;3204EG;Nissewaard                              ;Voorden;4
1059;4094029;5042MS;Tilburg                                 ;Westermarkt;3
1068;4102257;1561JH;Zaanstad                                ;Snuiverbuurt;4
1074;4102608;3201LG;Nissewaard                              ;De Dijk;2
1079;4102954;1951AB;Velsen                                  ;Watervlietbuurt;2
1080;4087213;9401GC;Assen                                   ;De Hertenkamp;4
1081;4096000;2012CK;Haarlem                                 ;Welgelegen;3
1087;4080686;4694BJ;Tholen                                  ;Scherpenisse;4
1088;4103214;1058AJ;Amsterdam                               ;Paramariboplein e.o.;3
1092;4086607;1054MJ;Amsterdam                               ;Cremerbuurt West;4
1102;4088599;2563BB;s Gravenhage                           ;Valkenboskwartier;3
1103;4097205;5654BK;Eindhoven                               ;Bennekel Oost;4
1104;4103310;2025TJ;Haarlem                                 ;Nachtegaalbuurt;3
1109;4082212;3037TA;Rotterdam                               ;Liskwartier;3
1112;4097941;9715SE;Groningen                               ;Indische buurt;4
1113;4097481;6822GA;Arnhem                                  ;Klarendal Noord;4
1122;4098067;1315AC;Almere                                  ;Centrum Almere Stad;4
1124;4104866;1011TX;Amsterdam                               ;Rapenburg;3
1125;4104917;1011TX;Amsterdam                               ;Rapenburg;3
1130;4105334;1013JL;Amsterdam                               ;Haarlemmerbuurt West;2
1134;4090029;2401PH;Alphen aan den Rijn                     ;Ambachtenbuurt West;4
1136;4098834;1072HH;Amsterdam                               ;Cornelis Troostbuurt;4
1143;4098801;1077DE;Amsterdam                               ;Prinses Irenebuurt;4
1151;4107115;6573WT;Berg en Dal                             ;Beek Midden;4
1154;4107284;5262JV;Vught                                   ;De Baarzen;4
1161;4085592;7642CW;Wierden                                 ;De Maaten;4
