;Gemeentenaam;month;koopprijs
517;Bodegraven-Reeuwijk;6;342792.68292682926
518;Bodegraven-Reeuwijk;7;293203.7037037037
519;Bodegraven-Reeuwijk;8;299163.46153846156
520;Bodegraven-Reeuwijk;9;300242.85714285716
521;Bodegraven-Reeuwijk;10;302848.48484848486
522;Bodegraven-Reeuwijk;11;375051.724137931
523;Bodegraven-Reeuwijk;12;331428.5714285714
524;Boekel;1;311041.6666666667
525;Boekel;2;280055.55555555556
526;Boekel;3;286700.0
527;Boekel;4;327700.0
528;Boekel;5;326166.6666666667
529;Boekel;6;249000.0
530;Boekel;7;337812.5
531;Boekel;8;270222.22222222225
532;Boekel;9;283318.1818181818
533;Boekel;10;291954.54545454547
534;Boekel;11;385444.44444444444
535;Boekel;12;332500.0
536;Borger-Odoorn;1;216200.0
537;Borger-Odoorn;2;263125.0
538;Borger-Odoorn;3;238300.0
539;Borger-Odoorn;4;225060.0
540;Borger-Odoorn;5;232086.95652173914
541;Borger-Odoorn;6;229357.10714285713
542;Borger-Odoorn;7;289562.5
543;Borger-Odoorn;8;253096.15384615384
544;Borger-Odoorn;9;238227.27272727274
545;Borger-Odoorn;10;240616.66666666666
546;Borger-Odoorn;11;283116.0
547;Borger-Odoorn;12;298891.3043478261
548;Borne;1;277100.0
549;Borne;2;284235.29411764705
550;Borne;3;257640.0
551;Borne;4;296333.3333333333
552;Borne;5;276416.6666666667
553;Borne;6;251470.58823529413
554;Borne;7;252108.69565217392
555;Borne;8;242611.11111111112
556;Borne;9;283142.85714285716
557;Borne;10;253818.18181818182
558;Borne;11;285535.71428571426
559;Borne;12;293692.3076923077
560;Borsele;1;245854.16666666666
561;Borsele;2;231823.5294117647
562;Borsele;3;230976.92307692306
563;Borsele;4;233638.0
564;Borsele;5;255425.92592592593
565;Borsele;6;327875.0
566;Borsele;7;239970.58823529413
567;Borsele;8;285617.64705882355
568;Borsele;9;242550.0
569;Borsele;10;277263.15789473685
570;Borsele;11;256100.0
571;Borsele;12;232727.27272727274
572;Boxmeer;1;276815.7894736842
573;Boxmeer;2;284950.0
574;Boxmeer;3;275380.0
575;Boxmeer;4;331346.1538461539
576;Boxmeer;5;376967.39130434784
577;Boxmeer;6;312652.17391304346
578;Boxmeer;7;311125.0
579;Boxmeer;8;295732.54545454547
580;Boxmeer;9;360900.0
581;Boxmeer;10;289245.8333333333
582;Boxmeer;11;284900.0
583;Boxmeer;12;275630.4347826087
584;Boxtel;1;300117.64705882355
585;Boxtel;2;394138.8888888889
586;Boxtel;3;421535.71428571426
587;Boxtel;4;302458.3333333333
588;Boxtel;5;396916.6666666667
589;Boxtel;6;335482.7586206897
590;Boxtel;7;314285.71428571426
591;Boxtel;8;300232.8125
592;Boxtel;9;262333.3333333333
593;Boxtel;10;327750.0
594;Boxtel;11;389188.09523809527
595;Boxtel;12;307062.5
596;Breda;1;356850.9090909091
597;Breda;2;331893.7125748503
598;Breda;3;361950.7042253521
599;Breda;4;354041.0305343511
600;Breda;5;371269.32270916336
601;Breda;6;377277.4880382775
602;Breda;7;319562.25
603;Breda;8;363789.93055555556
604;Breda;9;359681.221719457
605;Breda;10;328674.01960784313
606;Breda;11;329363.40206185565
607;Breda;12;402554.6568627451
608;Brielle;1;246226.66666666666
609;Brielle;2;309083.3333333333
610;Brielle;3;273735.29411764705
611;Brielle;4;336723.07692307694
612;Brielle;5;286052.63157894736
613;Brielle;6;293625.0
614;Brielle;7;309707.14285714284
615;Brielle;8;305415.7894736842
616;Brielle;9;286476.1904761905
617;Brielle;10;277906.25
618;Brielle;11;284533.3333333333
619;Brielle;12;308635.71428571426
620;Bronckhorst;1;364145.8333333333
621;Bronckhorst;2;325742.42424242425
622;Bronckhorst;3;342082.63157894736
623;Bronckhorst;4;378190.4761904762
624;Bronckhorst;5;336296.2962962963
625;Bronckhorst;6;417970.5882352941
626;Bronckhorst;7;317777.77777777775
627;Bronckhorst;8;358894.7368421053
628;Bronckhorst;9;352642.85714285716
629;Bronckhorst;10;342703.125
630;Bronckhorst;11;315818.1818181818
631;Bronckhorst;12;396124.6153846154
632;Brummen;1;284555.55555555556
633;Brummen;2;361903.8461538461
634;Brummen;3;262281.25
635;Brummen;4;283970.5882352941
636;Brummen;5;390850.0
637;Brummen;6;277795.45454545453
638;Brummen;7;332312.5
639;Brummen;8;248966.66666666666
640;Brummen;9;348434.7826086957
641;Brummen;10;412208.25
642;Brummen;11;366891.3043478261
643;Brummen;12;382125.0
644;Brunssum;1;197684.2105263158
645;Brunssum;2;192791.66666666666
646;Brunssum;3;205765.625
647;Brunssum;4;201300.0
648;Brunssum;5;195316.64705882352
649;Brunssum;6;175808.86666666667
650;Brunssum;7;174093.8620689655
651;Brunssum;8;149227.27272727274
652;Brunssum;9;196709.67741935485
653;Brunssum;10;180971.42857142858
654;Brunssum;11;210318.18181818182
655;Brunssum;12;201806.375
656;Bunnik;1;378166.6666666667
657;Bunnik;2;380363.63636363635
658;Bunnik;3;485650.0
659;Bunnik;4;457142.85714285716
660;Bunnik;5;434736.84210526315
661;Bunnik;6;442558.82352941175
662;Bunnik;7;390392.85714285716
663;Bunnik;8;429461.53846153844
664;Bunnik;9;341500.0
665;Bunnik;10;377600.0
666;Bunnik;11;437083.3333333333
667;Bunnik;12;406388.8888888889
668;Bunschoten;1;368466.6666666667
669;Bunschoten;2;335326.0869565217
670;Bunschoten;3;322843.75
671;Bunschoten;4;292178.5714285714
672;Bunschoten;5;301846.1538461539
673;Bunschoten;6;339718.75
674;Bunschoten;7;357100.0
675;Bunschoten;8;339973.6842105263
676;Bunschoten;9;300022.7272727273
677;Bunschoten;10;366538.63636363635
678;Bunschoten;11;340400.0
679;Bunschoten;12;384687.5
680;Buren;1;425210.5263157895
681;Buren;2;364631.5789473684
682;Buren;3;341615.3846153846
683;Buren;4;422350.0
684;Buren;5;382860.0
685;Buren;6;392921.05263157893
686;Buren;7;377264.70588235295
687;Buren;8;372860.0
688;Buren;9;309561.53846153844
689;Buren;10;386740.4761904762
690;Buren;11;386017.3076923077
691;Buren;12;352500.0
692;Capelle aan den IJssel;1;237463.88888888888
693;Capelle aan den IJssel;2;290508.9285714286
694;Capelle aan den IJssel;3;250054.2105263158
695;Capelle aan den IJssel;4;273425.8064516129
696;Capelle aan den IJssel;5;259475.3125
697;Capelle aan den IJssel;6;236648.4375
698;Capelle aan den IJssel;7;258414.08450704225
699;Capelle aan den IJssel;8;240100.0
700;Capelle aan den IJssel;9;272414.4578313253
701;Capelle aan den IJssel;10;320372.47747747746
702;Capelle aan den IJssel;11;272866.1971830986
703;Capelle aan den IJssel;12;293743.9024390244
704;Castricum;1;392090.6976744186
705;Castricum;2;396960.5263157895
706;Castricum;3;379348.5294117647
707;Castricum;4;400525.0
708;Castricum;5;371609.375
709;Castricum;6;370318.1818181818
710;Castricum;7;323880.76923076925
711;Castricum;8;363283.7837837838
712;Castricum;9;433064.3939393939
713;Castricum;10;375847.22222222225
714;Castricum;11;377171.4285714286
715;Castricum;12;314840.4761904762
